anio,region_name,lall_desc_full,exportaciones,prop_exportaciones
2007,Asia,Manufacturas de alta tecnología,1027084426577.034,0.4315073002322872
2007,Asia,Manufacturas de baja tecnología,800539702869.1537,0.43171106561635797
2007,Asia,Manufacturas de media tecnología,1159134189218.3306,0.2857584037878063
2007,Asia,Total manufacturas,3672432845838.8823,0.3418132975693315
2008,Asia,Manufacturas basadas en recursos naturales,869483280606.3105,0.2943995000299154
2008,Asia,Manufacturas de alta tecnología,1082981974056.7573,0.42511768424594437
2008,Asia,Manufacturas de baja tecnología,893775442340.1318,0.43744500110665707
2008,Asia,Manufacturas de media tecnología,1335235437385.103,0.29587218268993404
2008,Asia,Total manufacturas,4181476134388.3047,0.3468103888475677
2009,Asia,Manufacturas basadas en recursos naturales,650969472573.2874,0.2938633014628204
2009,Asia,Manufacturas de alta tecnología,952897238202.0912,0.4238764130816898
2009,Asia,Manufacturas de baja tecnología,754037909108.7645,0.4615533917856174
2009,Asia,Manufacturas de media tecnología,1056324938122.0297,0.3090142038975201
2009,Asia,Total manufacturas,3414229558006.1724,0.35881348266033
2010,Asia,Manufacturas basadas en recursos naturales,894748313856.474,0.3192451190694784
2010,Asia,Manufacturas de alta tecnología,1177042361895.9717,0.45946027922715516
2010,Asia,Manufacturas de baja tecnología,905368337967.9485,0.4820898999935158
2010,Asia,Manufacturas de media tecnología,1368937895981.8198,0.3339582392487959
2010,Asia,Total manufacturas,4346096909702.2153,0.3831986212604223
2011,Asia,Manufacturas basadas en recursos naturales,1145826691142.175,0.3238801523196552
2011,Asia,Manufacturas de alta tecnología,1268128986675.6873,0.45627154577016515
2011,Asia,Manufacturas de baja tecnología,1033303168151.4553,0.48026380098684235
2011,Asia,Manufacturas de media tecnología,1592015815362.6309,0.333827975428464
2011,Asia,Total manufacturas,5039274661331.951,0.38067762466841815
2012,Asia,Manufacturas basadas en recursos naturales,1146582758186.264,0.3277195523630405
2012,Asia,Manufacturas de alta tecnología,1447625125776.643,0.48855464305149254
2012,Asia,Manufacturas de baja tecnología,1038821727537.1437,0.4945529073963562
2012,Asia,Manufacturas de media tecnología,1589256345727.1914,0.33733260689713296
2012,Asia,Total manufacturas,5222285957227.241,0.3934364277840754
2013,Asia,Manufacturas basadas en recursos naturales,1168385596434.6052,0.3300597567489101
2013,Asia,Manufacturas de alta tecnología,1422123843879.9802,0.48550672502480724
2013,Asia,Manufacturas de baja tecnología,1060564663130.0848,0.4914038961087957
2013,Asia,Manufacturas de media tecnología,1567892369581.7441,0.32165611861817034
2013,Asia,Total manufacturas,5218966473026.415,0.3865401187558038
2014,Asia,Manufacturas basadas en recursos naturales,1189721378005.621,0.3355493288483361
2014,Asia,Manufacturas de alta tecnología,1448571796115.5818,0.4800679310870724
2014,Asia,Manufacturas de baja tecnología,1124474394858.3464,0.49671546548977535
2014,Asia,Manufacturas de media tecnología,1611637384823.1257,0.3253402531282549
2014,Asia,Total manufacturas,5374404953802.672,0.3899995335843461
2015,Asia,Manufacturas basadas en recursos naturales,976482477325.1576,0.3426621104792295
2015,Asia,Manufacturas de alta tecnología,1443341561745.5566,0.4928547705416042
2015,Asia,Manufacturas de baja tecnología,1091169394277.045,0.5163082964122716
2015,Asia,Manufacturas de media tecnología,1541422774971.3784,0.333183449681258
2015,Asia,Total manufacturas,5052416208319.131,0.40361263166281736
2016,Asia,Manufacturas basadas en recursos naturales,888026614115.8628,0.33230964739573665
2016,Asia,Manufacturas de alta tecnología,1436499434644.9788,0.4896938857957199
2016,Asia,Manufacturas de baja tecnología,1050959473804.5135,0.50858900471353
2016,Asia,Manufacturas de media tecnología,1509768115080.7598,0.3331812524006108
2016,Asia,Total manufacturas,4885253637646.12,0.4003143257514079
2017,Asia,Manufacturas basadas en recursos naturales,1035676768871.184,0.33642579390376187
2017,Asia,Manufacturas de alta tecnología,1684398854121.9038,0.5096794838727995
2017,Asia,Manufacturas de baja tecnología,1132153177098.5159,0.5090640186010655
2017,Asia,Manufacturas de media tecnología,1654997778552.038,0.33589972234058707
2017,Asia,Total manufacturas,5507226578643.646,0.4069076918459834
2018,Asia,Manufacturas basadas en recursos naturales,1195514338759.3982,0.34421630942258075
2018,Asia,Manufacturas de alta tecnología,1810658086977.1726,0.5133894713296733
2018,Asia,Manufacturas de baja tecnología,1217862401070.5188,0.5089978099237885
2018,Asia,Manufacturas de media tecnología,1783191989228.046,0.3392177216242923
2018,Asia,Total manufacturas,6007226816035.138,0.41006463627274276
2019,Asia,Manufacturas basadas en recursos naturales,1134517590192.2725,0.3451085902532358
2019,Asia,Manufacturas de alta tecnología,1768211427124.6758,0.5058204804404673
2019,Asia,Manufacturas de baja tecnología,1211897903509.949,0.5154381230692493
2019,Asia,Manufacturas de media tecnología,1757520940356.8184,0.34024093125106075
2019,Asia,Total manufacturas,5872147861183.718,0.4106434526154821
2020,Asia,Manufacturas basadas en recursos naturales,939377856388.7361,0.3275680509188195
2020,Asia,Manufacturas de alta tecnología,1824577678582.357,0.5206001988215403
2020,Asia,Manufacturas de baja tecnología,1151927514054.7427,0.5244602886945227
2020,Asia,Manufacturas de media tecnología,1632086550530.19,0.3487179338006846
2020,Asia,Total manufacturas,5547969599556.033,0.4187416954395652
2021,Asia,Manufacturas basadas en recursos naturales,1346387229564.5505,0.3439468003413302
2021,Asia,Manufacturas de alta tecnología,2190459435166.1587,0.5324074279104132
2021,Asia,Manufacturas de baja tecnología,1405656542255.731,0.5235692016920446
2021,Asia,Manufacturas de media tecnología,2040923736568.8442,0.36099305285905353
2021,Asia,Total manufacturas,6983426943555.282,0.4266728195357893
2022,Asia,Manufacturas basadas en recursos naturales,1723523695039.1372,0.3755512909043284
2022,Asia,Manufacturas de alta tecnología,2297452695642.162,0.5310182879821789
2022,Asia,Manufacturas de baja tecnología,1524711665857.7878,0.5362332472582143
2022,Asia,Manufacturas de media tecnología,2265615130377.251,0.3736725697664618
2022,Asia,Total manufacturas,7811303186916.337,0.4382882429782418
2023,Asia,Manufacturas basadas en recursos naturales,1529424296384.322,0.3647540928890049
2023,Asia,Manufacturas de alta tecnología,2168787535113.0947,0.5177673891492366
2023,Asia,Manufacturas de baja tecnología,1339615698934.633,0.5097997956445584
2023,Asia,Manufacturas de media tecnología,2179522119164.8887,0.3508295307402742
2023,Asia,Total manufacturas,7217349649596.933,0.41907807990840495
