anio,subregion_es,valor
2001,Europa Occidental,0.18517508028182852
2001,Europa del Este,0.20710095824655939
2001,Europa del Norte,0.1849771237883056
2001,Europa del Sur,0.16723263947568986
2001,Melanesia,0.08444758560409255
2001,Micronesia,0.02696031500195756
2001,Polinesia,0.06784873741252347
2001,Sudeste Asiático,0.18883190337371195
2001,África Subsahariana,0.12026697052894353
2001,África del Norte,0.1324207890500116
2001,NA,0.09328849302050474
2002,América Latina y el Caribe,0.12806708487455531
2002,América del Norte,0.10079544895742525
2002,Asia Central,0.21116639235343201
2002,Asia Occidental,0.10237314035716617
2002,Asia del Sur,0.12992884184727202
2002,Australia y Nueva Zelanda,0.143189961372012
2002,Este de Asia,0.16445798323078187
2002,Europa Occidental,0.1829636928433258
2002,Europa del Este,0.200991318742599
2002,Europa del Norte,0.1818685565187369
2002,Europa del Sur,0.16221281080646482
2002,Melanesia,0.08409095878796496
2002,Micronesia,0.02760480286484046
2002,Polinesia,0.06804333682871716
2002,Sudeste Asiático,0.19431538520313166
2002,África Subsahariana,0.12188924612917296
2002,África del Norte,0.13113803751862319
2002,NA,0.09442777847302739
2003,América Latina y el Caribe,0.1283613648877853
2003,América del Norte,0.09357528661592193
2003,Asia Central,0.20760047861753642
2003,Asia Occidental,0.1044141486999121
2003,Asia del Sur,0.12677642041648648
2003,Australia y Nueva Zelanda,0.138810326390592
2003,Este de Asia,0.16441023006131952
2003,Europa Occidental,0.1803990272677009
2003,Europa del Este,0.2030924619168829
2003,Europa del Norte,0.1734011486970233
2003,Europa del Sur,0.15608384975960574
2003,Melanesia,0.08481461518148448
2003,Micronesia,0.02809636986841343
2003,Polinesia,0.07051029537556502
2003,Sudeste Asiático,0.19610917173486883
2003,África Subsahariana,0.12113571759998631
2003,África del Norte,0.12951806314975198
2003,NA,0.0934289511190415
2004,América Latina y el Caribe,0.12861436344319221
2004,América del Norte,0.09603563074073118
2004,Asia Central,0.2023063031275242
2004,Asia Occidental,0.10499305958945296
2004,Asia del Sur,0.12912984824121773
2004,Australia y Nueva Zelanda,0.13463629125799298
2004,Este de Asia,0.16518831997696762
2004,Europa Occidental,0.17932850671226147
2004,Europa del Este,0.2075517378523529
2004,Europa del Norte,0.168137772753408
2004,Europa del Sur,0.15209992955100746
2004,Melanesia,0.09131908952819288
2004,Micronesia,0.03883518365564001
2004,Polinesia,0.0656724645835246
2004,Sudeste Asiático,0.19858538803068398
2004,África Subsahariana,0.11797474318036134
2004,África del Norte,0.13085831056396172
