geocodigoFundar,geonombreFundar,anio,gdp_indust_pc,gdp_indust_pc_vs_usa
JPN,Japón,2003,5976.26136552143,0.9719026466812166
JPN,Japón,2004,6291.88720767865,0.9652721644348714
JPN,Japón,2005,6595.81783580182,0.9919854753897511
JPN,Japón,2006,6843.93163154449,0.9831869188519786
JPN,Japón,2007,7192.65424432475,1.0097199877542085
JPN,Japón,2008,7170.92528527392,1.0385227552525536
JPN,Japón,2009,5884.32663660249,0.9500897890552642
JPN,Japón,2010,6847.93615296514,1.056436515888182
JPN,Japón,2011,6648.54263431672,1.030332709626738
JPN,Japón,2012,6796.79098938649,1.0697773766258964
JPN,Japón,2013,6768.3087651204,1.0423131607848823
JPN,Japón,2014,6936.41941836173,1.0600206354633859
JPN,Japón,2015,7146.22971025655,1.08833421146563
JPN,Japón,2016,7160.23525256506,1.1028303387531715
JPN,Japón,2017,7461.92159003068,1.1781462971016374
JPN,Japón,2018,7725.98158487509,1.1728742301324375
JPN,Japón,2019,7598.81435300523,1.1568118163001997
JPN,Japón,2020,7187.20243025695,1.1493647551471837
JPN,Japón,2021,7936.68697573888,1.182396285056943
JPN,Japón,2022,7898.15208574733,1.170412109818133
JPN,Japón,2023,8002.36681086868,1.1890079647930052
KOR,Corea del Sur,1970,173.358578313482,0.0461726504381679
KOR,Corea del Sur,1971,199.099121641896,0.052999963879957
KOR,Corea del Sur,1972,224.411117403939,0.05632994898453
KOR,Corea del Sur,1973,287.013603302275,0.06655144813822543
KOR,Corea del Sur,1974,328.238210634729,0.07995679227613252
KOR,Corea del Sur,1975,364.249925669938,0.09522585492946092
KOR,Corea del Sur,1976,435.027979185303,0.10659587073650927
KOR,Corea del Sur,1977,500.218023249374,0.11867783354234794
KOR,Corea del Sur,1978,619.977801791812,0.14251926581717722
KOR,Corea del Sur,1979,677.502378586416,0.15600440657942172
KOR,Corea del Sur,1980,661.798164195305,0.16516398571675922
KOR,Corea del Sur,1981,714.228880174991,0.17424563070615653
KOR,Corea del Sur,1982,739.904259657557,0.19214265233771624
KOR,Corea del Sur,1983,852.984607174676,0.21703254744131859
KOR,Corea del Sur,1984,1009.46519649827,0.2404205715631415
KOR,Corea del Sur,1985,1068.84757827298,0.250436117253083
KOR,Corea del Sur,1986,1228.51600971121,0.2878953283785968
KOR,Corea del Sur,1987,1457.11032541647,0.32044550022334584
KOR,Corea del Sur,1988,1632.46698713534,0.33835017787464805
KOR,Corea del Sur,1989,1682.01042299729,0.35456563854356105
KOR,Corea del Sur,1990,1850.93487425401,0.39769081206253926
KOR,Corea del Sur,1991,2100.89361739548,0.4723331241405971
KOR,Corea del Sur,1992,2222.58457643885,0.49706522426555555
KOR,Corea del Sur,1993,2371.07017863381,0.5183634120453082
KOR,Corea del Sur,1994,2639.03226503863,0.5430392209576589
KOR,Corea del Sur,1995,2976.91071214698,0.5808926841716182
KOR,Corea del Sur,1996,3220.76806751345,0.6196059585356779
KOR,Corea del Sur,1997,3396.95145684976,0.6277513458184069
KOR,Corea del Sur,1998,3128.59372581427,0.5607202309025627
KOR,Corea del Sur,1999,3718.7350200914,0.6372569953905388
KOR,Corea del Sur,2000,4286.09100860491,0.6921871661992444
KOR,Corea del Sur,2001,4385.17498403134,0.7449543955012529
KOR,Corea del Sur,2002,4764.57670196346,0.8102328954599513
KOR,Corea del Sur,2003,4969.8026797385,0.8082250896501442
KOR,Corea del Sur,2004,5452.64157572641,0.83651899056068
KOR,Corea del Sur,2005,5707.23919330907,0.8583466865332975
KOR,Corea del Sur,2006,6127.73292669002,0.880299100004388
KOR,Corea del Sur,2007,6588.12759269605,0.9248552601383561
KOR,Corea del Sur,2008,6781.48262953205,0.9821220755962644
KOR,Corea del Sur,2009,6642.41651975983,1.0724918074431744
KOR,Corea del Sur,2010,7539.55670743712,1.1631333647725954
KOR,Corea del Sur,2011,7870.09823577315,1.219638661627702
KOR,Corea del Sur,2012,7931.60416913591,1.2483907058114696
KOR,Corea del Sur,2013,8132.04596451269,1.2523274021716988
KOR,Corea del Sur,2014,8326.27894609502,1.2724183713748987
KOR,Corea del Sur,2015,8399.38233181567,1.2791829422688372
KOR,Corea del Sur,2016,8521.14140272215,1.3124391766822547
KOR,Corea del Sur,2017,8851.20335218148,1.3974969219990605
KOR,Corea del Sur,2018,9123.74169272997,1.3850669194885084
KOR,Corea del Sur,2019,9146.4724541493,1.3924208331579586
KOR,Corea del Sur,2020,8947.6174993307,1.4308872326977466
KOR,Corea del Sur,2021,9528.98359161737,1.4196143596866524
KOR,Corea del Sur,2022,9777.10536389643,1.4488506162754446
KOR,Corea del Sur,2023,9949.26698719298,1.4782823596086074
THA,Tailandia,1970,144.97871684091,0.038613904652382985
THA,Tailandia,1971,156.744537150697,0.04172522077877113
THA,Tailandia,1972,172.841595275976,0.04338536502527845
THA,Tailandia,1973,194.832134856004,0.045176815904691706
THA,Tailandia,1974,201.665750891254,0.04912452612400464
THA,Tailandia,1975,208.214528280682,0.05443352233441167
THA,Tailandia,1976,234.623878810044,0.05749040947704359
THA,Tailandia,1977,262.240405035537,0.062217116717863695
THA,Tailandia,1978,278.970613245201,0.06412921054490378
THA,Tailandia,1979,295.770814629097,0.06810537036932193
THA,Tailandia,1980,298.088076024588,0.07439339876490182
THA,Tailandia,1981,310.524705268666,0.07575663015212344
THA,Tailandia,1982,312.583938763442,0.08117361981396805
THA,Tailandia,1983,340.891645328819,0.08673612813745106
THA,Tailandia,1984,355.201241927473,0.08459695876626205
THA,Tailandia,1985,343.933290699023,0.08058522063165592
THA,Tailandia,1986,371.085259453515,0.0869615957645844
THA,Tailandia,1987,423.18088940883,0.09306530152602825
THA,Tailandia,1988,490.630305758313,0.10168956097257695
THA,Tailandia,1989,560.412615892912,0.1181342602193006
THA,Tailandia,1990,637.30168650326,0.13693027710467442
THA,Tailandia,1991,684.946367135999,0.15399297459867417
THA,Tailandia,1992,743.310805170386,0.16623617206190663
THA,Tailandia,1993,792.865591891151,0.1733362922825128
THA,Tailandia,1994,846.242773649798,0.17413315579038893
THA,Tailandia,1995,927.832257149615,0.18105043195196785
THA,Tailandia,1996,969.001217243465,0.18641482883798755
THA,Tailandia,1997,965.124562159425,0.1783535179922283
THA,Tailandia,1998,873.523209583773,0.15655664451896242
THA,Tailandia,1999,947.661535501886,0.16239499171045355
THA,Tailandia,2000,967.70274963368,0.156280261582728
THA,Tailandia,2001,976.734710994477,0.16592788630867128
THA,Tailandia,2002,1053.11588588935,0.1790860315308538
THA,Tailandia,2003,1149.78164094768,0.18698576778946188
THA,Tailandia,2004,1224.67476447404,0.1878839244273051
THA,Tailandia,2005,1265.19669396104,0.19028068621120625
THA,Tailandia,2006,1325.77268849126,0.1904581218619896
THA,Tailandia,2007,1410.84408498561,0.19805727118591748
THA,Tailandia,2008,1433.23657248364,0.20756718763212986
THA,Tailandia,2009,1375.48226863564,0.22208686552652585
THA,Tailandia,2010,1522.12543237561,0.23481949197604737
THA,Tailandia,2011,1439.12765790179,0.2230233572710059
THA,Tailandia,2012,1529.2654082762,0.2406979321837458
THA,Tailandia,2013,1548.88766190039,0.23852723783758747
THA,Tailandia,2014,1541.20270961709,0.23552593594636684
THA,Tailandia,2015,1557.27078250781,0.23716437028138265
THA,Tailandia,2016,1585.25262769026,0.24416302408202464
THA,Tailandia,2017,1624.41631774009,0.2564754998570141
THA,Tailandia,2018,1675.5839633051,0.2543688759019351
THA,Tailandia,2019,1658.00051218579,0.2524070854777185
THA,Tailandia,2020,1567.47900953322,0.25066848269168485
THA,Tailandia,2021,1639.63104169579,0.24426988975266486
THA,Tailandia,2022,1650.50816567499,0.24458566047945832
THA,Tailandia,2023,1597.84235430841,0.23741067244955155
VNM,Vietnam,1970,40.6031485025814,0.010814319087853944
VNM,Vietnam,1971,41.1813732486083,0.010962435578339515
VNM,Vietnam,1972,41.0405540774663,0.01030168355393583
VNM,Vietnam,1973,39.5644001094806,0.009174018554211252
VNM,Vietnam,1974,39.6518597741341,0.00965894710793104
VNM,Vietnam,1975,39.8917091423601,0.010428889177374362
VNM,Vietnam,1976,43.1681327657966,0.01057758332890875
VNM,Vietnam,1977,47.7570946275946,0.011330476438779383
VNM,Vietnam,1978,47.3210229765433,0.01087806278360819
VNM,Vietnam,1979,49.4318379827649,0.01138237265929796
VNM,Vietnam,1980,46.7001537934067,0.011654888078275819
VNM,Vietnam,1981,48.1236850164566,0.011740412744920688
VNM,Vietnam,1982,51.105483916577,0.013271370046279084
VNM,Vietnam,1983,53.3411117481119,0.013572058942998087
